Sample Number: Synthetic bimodal
Type of Measurement: USANS+SANS
0.000117613	223508096
0.000176419	221920992
0.000235226	219717904
0.000294032	216917504
0.000352839	213543392
0.000411645	209623600
0.000470452	205190400
0.000529258	200279904
0.000588065	194931600
0.000646871	189187696
0.000705677	183092704
0.00082329	170036192
0.000940903	156143200
0.001058516	141796704
0.001176129	127364600
0.001293742	113182896
0.001411355	99547072
0.001528968	86701200
0.001646581	74834040
0.001764194	64074320
0.001881806	54495480
0.0021	39890088
0.0024	25977750
0.0027	17657090
0.003	12939590
0.0033	10149880
0.0036	8210965
0.003901	6604703
0.004312	4723483
0.004723	3247542
0.005133	2212411
0.005544	1532804
0.005955	1092887
0.006365	801433
0.006776	602345
0.007187	464432.8125
0.007597	367017.5
0.008008	295562.5938
0.008419	241390.5938
0.008829	199253.7031
0.00965	138949.2031
0.01047	99683.60938
0.01129	73318.25781
0.01211	55164.69922
0.01294	42135.82031
0.01376	32908.51172
0.01458	25977.88086
0.0154	20914.82031
0.01622	16871.74023
0.017039999	13917.58984
0.018060001	10913.00977
0.01963	7870.686035
0.021199999	5828.530762
0.022770001	4331.194824
0.02434	3290.580078
0.025909999	2572.329102
0.027480001	2037.166016
0.02905	1631.541992
0.030619999	1313.713013
0.032189999	1081.244019
0.03376	890.6749878
0.036899999	628.5067139
0.040040001	458.7961121
0.04318	333.1676025
0.04631	247.4620972
0.049449999	193.0332031
0.052590001	153.4743958
0.055720001	118.4272995
0.05886	97.14285278
0.06199	78.15548706
0.065119997	64.32688904
0.06825	53.32978058
0.072949998	40.87929916
0.079209998	29.4077301
0.084679998	22.45919037
0.09093	16.96170044
0.097170003	12.96389961
0.103399999	10.06029987
0.1096	8.050041199
0.115900002	6.450526237
0.122100003	5.199825764
0.128299996	4.258728981
0.134499997	3.539289951
0.146899998	2.47964406
0.159299999	1.798164964
0.171599999	1.334633946
0.183899999	1.012616992
0.196099997	0.784355879
